pipeline.py[LINE:38]# INFO     [2025-07-30 15:28:11,380] Starting MNIST pipeline ...
pipeline.py[LINE:39]# INFO     [2025-07-30 15:28:11,381] Configuring filepaths...
pipeline.py[LINE:59]# INFO     [2025-07-30 15:28:11,381] Initializing model
pipeline.py[LINE:65]# INFO     [2025-07-30 15:28:11,394] Initializing model hyperparameters
pipeline.py[LINE:73]# INFO     [2025-07-30 15:28:11,395] Initializing model hyperparameters
model_training.py[LINE:39]# INFO     [2025-07-30 15:28:14,259] start training
model_training.py[LINE:47]# INFO     [2025-07-30 15:28:14,260] starting training epoch 1..
model_training.py[LINE:60]# INFO     [2025-07-30 15:28:16,795] starting validation epoch 1..
model_training.py[LINE:81]# INFO     [2025-07-30 15:28:17,012] epoch 1 train_loss: 0.300606790735428, test_loss: 0.15095284062283482, accuracy: 0.9564092356687898
model_training.py[LINE:47]# INFO     [2025-07-30 15:28:17,013] starting training epoch 2..
model_training.py[LINE:60]# INFO     [2025-07-30 15:28:19,317] starting validation epoch 2..
model_training.py[LINE:81]# INFO     [2025-07-30 15:28:19,511] epoch 2 train_loss: 0.12623714437898892, test_loss: 0.10222958289175799, accuracy: 0.9697452229299363
model_training.py[LINE:47]# INFO     [2025-07-30 15:28:19,511] starting training epoch 3..
model_training.py[LINE:60]# INFO     [2025-07-30 15:28:21,909] starting validation epoch 3..
model_training.py[LINE:81]# INFO     [2025-07-30 15:28:22,135] epoch 3 train_loss: 0.08518540888760628, test_loss: 0.08375581577909624, accuracy: 0.9732285031847133
model_training.py[LINE:47]# INFO     [2025-07-30 15:28:22,135] starting training epoch 4..
model_training.py[LINE:60]# INFO     [2025-07-30 15:28:25,624] starting validation epoch 4..
model_training.py[LINE:81]# INFO     [2025-07-30 15:28:25,918] epoch 4 train_loss: 0.0624483132055764, test_loss: 0.07848957606004017, accuracy: 0.9766122611464968
model_training.py[LINE:47]# INFO     [2025-07-30 15:28:25,918] starting training epoch 5..
model_training.py[LINE:60]# INFO     [2025-07-30 15:28:29,430] starting validation epoch 5..
model_training.py[LINE:81]# INFO     [2025-07-30 15:28:29,727] epoch 5 train_loss: 0.047631505990960894, test_loss: 0.07402663293556358, accuracy: 0.9782046178343949
model_training.py[LINE:47]# INFO     [2025-07-30 15:28:29,728] starting training epoch 6..
model_training.py[LINE:60]# INFO     [2025-07-30 15:28:33,148] starting validation epoch 6..
model_training.py[LINE:81]# INFO     [2025-07-30 15:28:33,457] epoch 6 train_loss: 0.0365928377107735, test_loss: 0.06921195872837994, accuracy: 0.9786027070063694
model_training.py[LINE:47]# INFO     [2025-07-30 15:28:33,458] starting training epoch 7..
model_training.py[LINE:60]# INFO     [2025-07-30 15:28:36,880] starting validation epoch 7..
model_training.py[LINE:81]# INFO     [2025-07-30 15:28:37,166] epoch 7 train_loss: 0.027878273515152867, test_loss: 0.06786350913745852, accuracy: 0.9800955414012739
model_training.py[LINE:47]# INFO     [2025-07-30 15:28:37,167] starting training epoch 8..
model_training.py[LINE:60]# INFO     [2025-07-30 15:28:41,038] starting validation epoch 8..
model_training.py[LINE:81]# INFO     [2025-07-30 15:28:41,324] epoch 8 train_loss: 0.021728271937014154, test_loss: 0.07243929723692742, accuracy: 0.9793988853503185
model_training.py[LINE:47]# INFO     [2025-07-30 15:28:41,325] starting training epoch 9..
model_training.py[LINE:60]# INFO     [2025-07-30 15:28:45,038] starting validation epoch 9..
model_training.py[LINE:81]# INFO     [2025-07-30 15:28:45,439] epoch 9 train_loss: 0.017147364000839962, test_loss: 0.07576589554868128, accuracy: 0.9782046178343949
model_training.py[LINE:47]# INFO     [2025-07-30 15:28:45,439] starting training epoch 10..
model_training.py[LINE:60]# INFO     [2025-07-30 15:28:49,361] starting validation epoch 10..
model_training.py[LINE:81]# INFO     [2025-07-30 15:28:49,649] epoch 10 train_loss: 0.013947579658358543, test_loss: 0.07990727587763381, accuracy: 0.9777070063694268
model_training.py[LINE:84]# INFO     [2025-07-30 15:28:49,650] training finished
